Common Name,Scientific Name,Number of CBMs,CBM Names
tea,Camellia sinensis,17,"1,2,4-Trihydroxybenzene; 6-Keto-28-homobrassinolide; Apigenin; Brassinolide; Epigallocatechin 3-gallate; Gallic acid; Gallocatechin 3-gallate; Lupeol; Phloroglucinol; Procyanidin B2; Procyanidin B3; Prodelphinidin B4; Quercetin; Theaflavin; Tricetin; ?-Terpineol; ent-Epigallocatechin 3-gallate; ent-Gallocatechin 3-gallate"
carrot,Daucus carota,12,Aesculetin; Apigenin; Carvone; Diosgenin; Ferulic acid 4-glucoside; Lupeol; Myristicin; Psoralen; Quercetin; Xanthotoxin; ?-Terpineol; ?-Elemene
grape,Vitis vinifera,12,Anthocyanidins; Betulinic acid; Epigallocatechin 3-gallate; Gallic acid; Gallocatechin 3-gallate; Lupeol; Procyanidin B1; Procyanidin B2; Procyanidin B3; Quercetin; ?-Terpineol; gamma-Tocotrienol
dill,Anethum graveolens,12,(R)-Carvone; (S)-Carvone; Aesculetin; Apigenin; Apiole; Carvone; Myristicin; Quercetin; Umbelliprenin; Xanthotoxin; ?-Terpineol; ?-Elemene
celery,Apium graveolens,12,"8-p-Menthene-1,2-diol; Angelicin; Apigenin; Apiole; Carvone; Myristicin; Psoralen; Quercetin; Verbenol; Xanthotoxin; ?-Terpineol; ?-Elemene"
sweet bay,Laurus nobilis,11,(S)-?-Terpineol; Artecanin; Carvone; Cuminyl alcohol; Procyanidin B2; Quercetin; Reynosin; Ridentin B; Santamarin; ?-Terpineol; ?-Elemene
caraway,Carum carvi,10,"(R)-Carvone; (S)-Carvone; 8-p-Menthene-1,2-diol; Carvone; Myristicin; Quercetin; Xanthotoxin; ?-Terpineol; ?-Elemene; gamma-Tocotrienol"
orange,Citrus sinensis,10,Brassinolide; Carvone; Didymin; Luteolin 7-rhamnosylglucoside; Obacunone; Quercetagetin; Quercetin; Xylan; ?-Terpineol; ?-Elemene
coriander,Coriandrum sativum,9,Angelicin; Apigenin; Carvone; Myristicin; Psoralen; Quercetin; Umbelliprenin; Xanthotoxin; ?-Terpineol
guava,Psidium guajava,9,(15Z)-Lycopene; Corosolic acid; Gallic acid; Lupeol; Procyanidin B1; Procyanidin B2; Procyanidin B3; Quercetin; ?-Terpineol
rosemary,Rosmarinus officinalis,9,Apigenin; Betulinic acid; Carnosic acid; Carvone; Lupeol; Verbenol; ?-Terpineol; ?-Elemene; gamma-Tocotrienol
lovage,Levisticum officinale,8,(Z)-3-Butylidene-1(3H)-isobenzofuranone; Apiole; Carvone; Myristicin; Psoralen; Xanthotoxin; ?-Terpineol; ?-Elemene
soy,Glycine max,8,6-Hydroxymethylpterin; Fisetin; Gallic acid; Genistein; Glyceollin I; Legumelin; Lupeol; Quercetin
anise,Pimpinella anisum,8,(S)-Carvone; Apigenin; Carvone; Myristicin; Quercetin; Xanthotoxin; ?-Terpineol; ?-Elemene
bean,Vicia faba,8,"3,4,7-Trihydroxyflavone; 4-Chloro-1H-indole-3-acetic acid; 7,4-Dihydroxyflavone; Brassinolide; Genistein; Procyanidin B1; Procyanidin B3; Prodelphinidin B4"
cabbage,Brassica oleracea,8,1H-Indole-3-methanol; 4-Methoxyglucobrassicin; Brassinin; Carvone; Erucin; Indole-?-carboxylic acid; Quercetin; ?-Terpineol
sage,Salvia officinalis,8,6-Oxocamphor; Apigenin; Carnosic acid; Epiursolic acid; Gallic acid; Lupeol; Manool; ?-Terpineol
fennel,Foeniculum vulgare,8,Apiole; Carvone; Myristicin; Psoralen; Quercetin; Xanthotoxin; ?-Terpineol; gamma-Tocotrienol
olive,Olea europaea,8,Acteoside; Aesculetin; Apigenin; Betulinic acid; Corosolic acid; Gallic acid; Hydroxytyrosol; Quercetin
parsley,Petroselinum crispum,8,Apigenin; Apiole; Myristicin; Psoralen; Quercetin; Xanthotoxin; ?-Terpineol; ?-Elemene
pomegranate,Punica granatum,8,Apigenin; Betulinic acid; Epiestradiol; Epigallocatechin 3-gallate; Gallic acid; Procyanidin B1; Procyanidin B2; Quercetin
basil,Ocimum basilicum,8,Aesculetin; Apigenin; Betulinic acid; Carvone; Quercetin; ?-Santalene; ?-Terpineol; ?-Elemene
cloves,Syzygium aromaticum,7,Carvone; Gallic acid; Hydroxytyrosol; Palustrol; Procyanidin; Quercetin; ?-Terpineol
oregano,Origanum vulgare,7,Apigenin; Carvone; Gallic acid; Quercetin; Tetramethylquercetin; ?-Terpineol; ?-Elemene
blueberry,Vaccinium corymbosum,7,Aesculetin; Ferulic acid 4-glucoside; Gallic acid; Myristicin; Phloroglucinol; Quercetin; ?-Terpineol
lemon,Citrus limon,7,Carvone; Luteolin 7-rhamnosylglucoside; Obacunone; Quercetin; Umbelliprenin; ?-Terpineol; ?-Elemene
cranberry,Vaccinium macrocarpon,6,Caffeic acid 3-glucoside; Myricetin 3-digalactoside; Procyanidin B2; Quercetin; ?-Terpineol; gamma-Tocotrienol
apple,Malus domestica,6,Apigenin; Gallic acid; Procyanidin B1; Procyanidin B2; Progesterone; Quercetin
